month,brand,review_count,avg_rating,xhs_post_count,avg_xhs_sentiment
2015-12,Olens,0,,0,
2016-01,Olens,0,,0,
2016-02,Olens,0,,0,
2016-03,Olens,0,,0,
2016-04,Olens,0,,0,
2016-05,Olens,0,,0,
2016-06,Olens,0,,0,
2016-07,Olens,0,,0,
2016-08,Olens,0,,0,
2016-09,Olens,0,,0,
2016-10,Olens,0,,0,
2016-11,Olens,0,,0,
2016-12,Olens,0,,0,
2017-01,Olens,0,,0,
2017-02,Olens,0,,0,
2017-03,Olens,0,,0,
2017-04,Olens,0,,0,
2017-05,Olens,0,,0,
2017-06,Olens,0,,0,
2017-07,Olens,0,,0,
2017-08,Olens,0,,1,1.0
2017-09,Olens,0,,0,
2017-10,Olens,0,,0,
2017-11,Olens,0,,0,
2017-12,Olens,0,,0,
2018-01,Olens,0,,0,
2018-02,Olens,0,,0,
2018-03,Olens,0,,0,
2018-04,Olens,0,,0,
2018-05,Olens,0,,0,
2018-06,Olens,0,,0,
2018-07,Olens,0,,0,
2018-08,Olens,0,,0,
2018-09,Olens,0,,0,
2018-10,Olens,0,,0,
2018-11,Olens,0,,0,
2018-12,Olens,0,,0,
2019-01,Olens,0,,0,
2019-02,Olens,0,,0,
2019-03,Olens,0,,0,
2019-04,Olens,0,,0,
2019-05,Olens,0,,0,
2019-06,Olens,0,,0,
2019-07,Olens,0,,0,
2019-08,Olens,0,,0,
2019-09,Olens,0,,0,
2019-10,Olens,0,,1,1.0
2019-11,Olens,0,,0,
2019-12,Olens,0,,1,0.0
2020-01,Olens,0,,0,
2020-02,Olens,0,,0,
2020-03,Olens,0,,2,0.5
2020-04,Olens,0,,0,
2020-05,Olens,0,,0,
2020-06,Olens,0,,0,
2020-07,Olens,0,,0,
2020-08,Olens,0,,1,1.0
2020-09,Olens,0,,1,0.0
2020-10,Olens,0,,1,1.0
2020-11,Olens,0,,0,
2020-12,Olens,0,,1,1.0
2021-01,Olens,0,,0,
2021-02,Olens,0,,0,
2021-03,Olens,0,,1,1.0
2021-04,Olens,0,,0,
2021-05,Olens,0,,1,1.0
2021-06,Olens,0,,1,-1.0
2021-07,Olens,0,,0,
2021-08,Olens,0,,0,
2021-09,Olens,0,,1,1.0
2021-10,Olens,0,,0,
2021-11,Olens,0,,0,
2021-12,Olens,0,,2,1.0
2022-01,Olens,0,,0,
2022-02,Olens,0,,0,
2022-03,Olens,0,,1,1.0
2022-04,Olens,0,,0,
2022-05,Olens,5,4.8,0,
2022-06,Olens,4,4.5,0,
2022-07,Olens,3,4.67,0,
2022-08,Olens,7,3.43,0,
2022-09,Olens,7,5.0,0,
2022-10,Olens,6,4.17,1,1.0
2022-11,Olens,9,4.67,0,
2022-12,Olens,6,4.83,0,
2023-01,Olens,8,5.0,0,
2023-02,Olens,6,4.67,2,0.5
2023-03,Olens,10,4.6,0,
2023-04,Olens,12,4.75,0,
2023-05,Olens,4,4.75,0,
2023-06,Olens,9,4.11,0,
2023-07,Olens,0,,0,
2023-08,Olens,0,,1,0.0
2023-09,Olens,0,,0,
2023-10,Olens,17,3.29,0,
2023-11,Olens,8,1.88,0,
2023-12,Olens,5,3.4,2,1.0
